codigo_postal,Income_Range,V_PROFESSION_CD,V_SEX,N_COLL_SCHOLARSHIP_LEVEL,EDAD,ID,AGEB
50290,3,10.0,1.0,2,58,434,070-1
56560,2,2.0,1.0,1,58,436,105-2
50200,2,3.0,1.0,4,26,437,358-5
57000,4,6.0,1.0,5,33,438,204-1
55090,3,6.0,2.0,5,33,439,022-4
55055,2,2.0,1.0,5,27,441,386-9
5410,4,5.0,1.0,3,28,442,038-8
55740,3,13.0,1.0,5,42,443,046-7
9620,2,6.0,2.0,5,40,444,263-4
68020,4,6.0,1.0,5,28,445,110-9
55719,2,6.0,1.0,2,24,446,042-3
13300,3,2.0,1.0,5,27,449,141-2
24400,2,6.0,2.0,5,24,450,218-4
24350,2,6.0,2.0,5,26,452,049-A
66100,4,2.0,1.0,5,28,454,057-9
34197,7,5.0,1.0,5,27,456,546-3
14200,3,6.0,1.0,5,23,457,086-9
7760,4,6.0,1.0,3,26,459,124-1
97203,2,6.0,1.0,4,37,460,652-4
1730,3,24.0,1.0,3,26,462,107-8
7270,7,6.0,2.0,5,34,463,031-3
57310,3,1.0,2.0,3,28,464,056-2
56353,2,26.0,2.0,5,27,465,018-3
50020,2,1.0,2.0,3,24,466,353-2
50170,3,6.0,1.0,3,49,467,208-9
50120,4,8.0,1.0,5,57,468,058-0
85820,4,1.0,1.0,4,36,469,118-3
60153,2,5.0,1.0,4,27,470,071-1
31384,2,6.0,1.0,5,43,471,706-3
55749,3,6.0,2.0,3,35,472,108-A
11820,2,6.0,2.0,5,24,474,110-3
57710,4,2.0,2.0,5,23,475,083-A
55023,2,6.0,1.0,5,25,476,461-7
54170,4,5.0,1.0,3,25,477,110-3
25296,3,6.0,1.0,3,24,478,213-6
15900,4,5.0,2.0,4,29,479,092-0
32280,4,37.0,1.0,5,29,480,389-1
56615,2,6.0,1.0,4,23,481,016-0
38400,4,6.0,1.0,4,23,482,026-3
50160,2,9.0,2.0,4,26,483,089-6
85064,3,6.0,1.0,2,27,484,283-9
1290,4,6.0,1.0,3,32,486,196-6
45180,2,6.0,1.0,3,42,487,410-7
77500,6,2.0,2.0,5,36,488,044-0
54110,3,2.0,1.0,5,26,489,003-5
54949,2,2.0,1.0,5,27,490,060-A
1740,3,6.0,1.0,5,23,491,182-4
13400,2,6.0,1.0,3,25,492,075-3
62780,4,6.0,1.0,5,28,495,004-5
55885,4,1.0,1.0,6,30,496,006-9
9240,3,1.0,2.0,5,24,497,101-5
62742,4,9.0,2.0,5,24,498,032-A
55017,3,6.0,2.0,5,27,499,258-9
1130,2,6.0,1.0,2,25,500,009-9
54473,1,6.0,1.0,4,27,501,061-1
55710,2,9.0,2.0,5,26,502,015-6
9240,3,6.0,1.0,3,27,504,101-5
54913,1,2.0,2.0,3,23,505,105-9
54720,4,2.0,2.0,5,27,506,241-8
93600,4,32.0,2.0,5,37,509,097-6
7840,2,6.0,1.0,3,25,510,180-5
7360,3,32.0,1.0,6,36,512,336-0
56250,4,6.0,2.0,5,41,513,056-5
56643,3,6.0,1.0,4,23,516,200-2
66600,2,10.0,1.0,3,28,517,231-0
54980,3,1.0,2.0,5,25,519,057-0
3700,2,6.0,1.0,5,26,520,054-3
56334,2,6.0,2.0,5,23,522,036-1
7738,3,26.0,1.0,5,28,523,071-8
7420,5,4.0,1.0,5,28,524,102-5
55719,3,26.0,2.0,5,24,525,042-3
21387,4,24.0,1.0,5,25,526,652-0
31134,3,5.0,2.0,4,28,527,268-3
38130,3,2.0,1.0,5,25,531,083-2
23940,3,6.0,1.0,5,24,532,371-3
36100,4,13.0,1.0,5,27,533,006-6
93160,2,6.0,1.0,5,24,534,022-3
56605,2,24.0,1.0,4,28,535,202-1
55238,3,6.0,2.0,5,37,536,191-3
7530,3,2.0,1.0,5,32,538,152-3
54110,1,25.0,1.0,3,23,539,171-A
60140,3,6.0,1.0,3,23,540,016-2
9730,4,2.0,2.0,4,45,541,500-3
42185,3,1.0,2.0,5,26,542,171-5
9230,2,24.0,2.0,5,29,543,526-8
57210,4,2.0,1.0,5,29,544,038-4
55130,4,2.0,2.0,3,33,545,074-1
62553,2,7.0,1.0,4,29,547,119-2
8500,4,5.0,1.0,3,25,548,031-0
6900,4,13.0,1.0,3,26,549,043-2
63556,2,31.0,1.0,3,21,550,044-6
7530,3,2.0,1.0,3,42,551,134-5
54240,4,32.0,2.0,5,29,552,028-2
33086,3,10.0,1.0,3,54,553,077-4
52080,3,2.0,2.0,4,42,554,019-0
